"","Cst_Cnt","Sta_ID","Depthm","T_degC","Salnty","O2ml_L","O2Sat","Oxy_µmol.Kg","ChlorA","Phaeop","PO4uM","SiO3uM","NO2uM","NO3uM","NH3uM","C14A1q","C14A2q"
"857849",34137,"090.0 060.0",0,15.19,33.3456,5.764,100.7,251.7,0.426,0.136,0.34,2.17,0.02,0.06,0.09,NA,NA
"857885",34138,"090.0 070.0",0,15.769,33.3486,5.667,100.16,247.36,0.219,0.064,0.32,2,0.012,0.06,0.04,9,9
"857919",34139,"090.0 080.0",0,15.824,33.3294,5.685,100.57,248.18,0.188,0.052,0.32,1.87,0.007,0.05,0.08,9,9
"857949",34140,"090.0 090.0",0,16.062,33.3326,5.654,100.5,246.89,0.139,0.032,0.29,1.87,0.01,0,0,9,9
"857980",34141,"090.0 100.0",0,16.331,33.3601,5.586,99.84,243.91,0.148,0.043,0.28,1.92,0.01,0.02,0,NA,NA
"858016",34142,"090.0 110.0",0,16.52,33.2869,5.595,100.33,244.3,0.107,0.044,0.28,1.92,0.011,0.05,0,9,9
"858046",34143,"090.0 120.0",0,16.788,33.265,5.565,100.3,243.01,0.111,0.034,0.3,1.83,0.013,0.04,0.2,9,9
"858080",34144,"091.7 026.4",0,16.133,33.6041,5.476,97.63,238.98,0.639,0.263,0.44,3.9,0.078,0.41,0.51,9,9
"858087",34145,"093.3 026.7",0,16.247,33.5152,5.48,97.87,239.16,0.603,0.197,0.42,3.42,0.054,0.19,0.56,NA,NA
"858101",34146,"093.3 028.0",0,16.336,33.6163,5.504,98.54,240.11,0.533,0.243,0.4,3.3,0.057,0.27,0.7,9,9
"858133",34147,"093.3 030.0",0,16.186,33.5948,5.468,97.59,238.55,0.51,0.21,0.42,3.02,0.08,0.35,0.3,9,9
"858164",34148,"093.3 035.0",0,16.57,33.6505,5.426,97.61,236.71,0.433,0.207,0.43,3.6,0.094,0.49,0.14,9,9
"858193",34149,"093.3 040.0",0,16.775,33.6934,5.297,95.7,231.12,0.523,0.302,0.47,3.96,0.187,0.74,0.08,9,9
"858226",34150,"093.3 045.0",0,16.631,33.6719,5.474,98.6,238.83,0.602,0.308,0.38,3.24,0.081,0.09,0.04,NA,NA
"858261",34151,"093.3 050.0",0,16.394,33.6214,5.471,98.06,238.72,0.588,0.275,0.43,3.51,0.07,0.41,0.25,9,9
"858292",34152,"093.3 055.0",0,15.671,33.4071,5.663,99.93,247.16,0.627,0.264,0.34,2.35,0.033,0.1,0.05,9,9
"858323",34153,"093.3 060.0",0,15.695,33.3444,5.646,99.64,246.56,0.36,0.156,NA,2.11,0.027,0.04,0.07,9,9
"858355",34154,"093.3 070.0",0,15.802,33.3548,5.664,100.17,247.32,0.22,0.065,0.3,1.96,0.011,0,0,9,9
"858386",34155,"093.3 080.0",0,16.767,33.4159,5.544,99.97,242.07,0.173,0.053,0.39,1.99,0.02,0.07,3.14,NA,NA
"858421",34156,"093.3 090.0",0,16.188,33.3574,5.646,100.62,246.53,0.13,0.037,0.31,1.94,0.013,0,0.1,9,9
"858451",34157,"093.3 100.0",0,16.97,33.4301,5.532,100.16,241.56,0.142,0.047,0.26,2.06,0.013,0.03,0,9,9
"858482",34158,"093.3 110.0",0,16.655,33.3085,5.561,100,242.86,0.148,0.05,0.27,1.89,0.012,0.02,0.05,9,9
"858513",34159,"093.3 120.0",0,17.628,33.6056,5.463,100.29,238.56,0.103,0.034,0.26,2.1,0.013,0.04,0.05,NA,NA
"858549",34160,"093.4 026.4",0,16.046,32.4654,5.863,103.64,256.06,1.027,0.464,1.11,8.17,0.446,1.61,2.17,9,9
"858554",34161,"060.0 053.0",0,14.342,32.422,6.27,107.06,273.91,0.455,0.401,NA,NA,NA,NA,NA,9,9
"858563",34162,"060.0 060.0",0,14.917,32.3625,6.019,103.95,262.87,0.147,0.035,NA,NA,NA,NA,NA,9,9
"858588",34163,"060.0 070.0",0,14.887,32.716,5.971,103.28,260.74,0.131,0.026,NA,NA,NA,NA,NA,9,9
"858613",34164,"060.0 080.0",0,14.693,32.7366,5.999,103.37,261.98,0.151,0.025,NA,NA,NA,NA,NA,9,9
"858638",34165,"063.3 052.0",0,13.58,33.0351,7.323,123.56,319.75,1.709,0.572,NA,NA,NA,NA,NA,9,9
"858648",34166,"063.3 055.0",0,13.328,33.033,7.112,119.37,310.56,0.074,0.023,NA,NA,NA,NA,NA,9,9
"858664",34167,"063.3 060.0",0,13.544,33.0132,6.903,116.4,301.43,0.065,0.024,NA,NA,NA,NA,NA,9,9
